primarytype,Crimes_commited,year
ASSAULT,11642,2017
BATTERY,29523,2017
BURGLARY,7742,2017
CRIMINAL DAMAGE,17342,2017
DECEPTIVE PRACTICE,11876,2017
MOTOR VEHICLE THEFT,6846,2017
NARCOTICS,6946,2017
OTHER OFFENSE,10461,2017
ROBBERY,7188,2017
THEFT,38455,2017
ASSAULT,12137,2018
BATTERY,29930,2018
BURGLARY,7019,2018
CRIMINAL DAMAGE,16661,2018
DECEPTIVE PRACTICE,11887,2018
MOTOR VEHICLE THEFT,5998,2018
NARCOTICS,8095,2018
OTHER OFFENSE,10335,2018
ROBBERY,5791,2018
THEFT,39382,2018
ASSAULT,12364,2019
BATTERY,29613,2019
BURGLARY,5819,2019
CRIMINAL DAMAGE,16035,2019
DECEPTIVE PRACTICE,11340,2019
MOTOR VEHICLE THEFT,5425,2019
NARCOTICS,9002,2019
OTHER OFFENSE,10165,2019
ROBBERY,4870,2019
THEFT,37271,2019
ASSAULT,10945,2020
BATTERY,24800,2020
BURGLARY,5142,2020
CRIMINAL DAMAGE,15058,2020
DECEPTIVE PRACTICE,10996,2020
MOTOR VEHICLE THEFT,5983,2020
NARCOTICS,4513,2020
OTHER OFFENSE,7541,2020
ROBBERY,4759,2020
THEFT,24654,2020
ASSAULT,12179,2021
BATTERY,24276,2021
BURGLARY,3985,2021
CRIMINAL DAMAGE,15020,2021
DECEPTIVE PRACTICE,10231,2021
MOTOR VEHICLE THEFT,6410,2021
NARCOTICS,2992,2021
OTHER OFFENSE,8378,2021
ROBBERY,4739,2021
THEFT,24310,2021
