district,Crimes_commited,arrests_ratio
11,50846,0.353793808755851%
10,34020,0.27527924750147%
7,38541,0.229132612023559%
5,32994,0.215524034672971%
15,28223,0.215001948765192%
6,46243,0.212788962653807%
4,40485,0.190119797455848%
9,31469,0.181543741459849%
25,37575,0.175489021956088%
3,35180,0.161768050028425%
22,23468,0.160473836713823%
1,38336,0.159328046744574%
18,39184,0.144446712944059%
8,44947,0.143079627116382%
16,25144,0.140272033089405%
2,32375,0.135042471042471%
12,36485,0.127312594216801%
14,25159,0.127230812035455%
20,13306,0.125507289944386%
24,22678,0.124481876708704%
19,33158,0.118402798721274%
17,20402,0.10768552102735%
