locationdescription,Crimes_commited
STREET,167485
RESIDENCE,122981
APARTMENT,110302
SIDEWALK,52665
OTHER,20286
SMALL RETAIL STORE,18933
RESTAURANT,17167
ALLEY,15045
PARKING LOT/GARAGE(NON.RESID.),14585
VEHICLE NON-COMMERCIAL,12264
DEPARTMENT STORE,11292
GAS STATION,10473
RESIDENTIAL YARD (FRONT/BACK),9385
GROCERY FOOD STORE,8945
RESIDENCE PORCH/HALLWAY,8884
RESIDENCE-GARAGE,7166
PARKING LOT / GARAGE (NON RESIDENTIAL),6691
"SCHOOL, PUBLIC, BUILDING",6252
COMMERCIAL / BUSINESS OFFICE,5788
CONVENIENCE STORE,5503
OTHER (SPECIFY),5030
CTA TRAIN,4931
BAR OR TAVERN,4910
PARK PROPERTY,4780
RESIDENCE - PORCH / HALLWAY,3858
RESIDENCE - YARD (FRONT / BACK),3513
NA,3426
DRUG STORE,3426
RESIDENCE - GARAGE,2932
BANK,2766
HOTEL/MOTEL,2683
CTA BUS,2535
CTA STATION,2480
HOSPITAL BUILDING/GROUNDS,2408
CTA PLATFORM,2348
CHA APARTMENT,2055
DRIVEWAY - RESIDENTIAL,2018
"SCHOOL, PUBLIC, GROUNDS",1904
NURSING HOME/RETIREMENT HOME,1700
POLICE FACILITY/VEH PARKING LOT,1645
CTA BUS STOP,1382
VACANT LOT/LAND,1344
HOSPITAL BUILDING / GROUNDS,1246
HOTEL / MOTEL,1219
ATHLETIC CLUB,1138
"SCHOOL, PRIVATE, BUILDING",1066
GOVERNMENT BUILDING/PROPERTY,1051
CHA PARKING LOT/GROUNDS,1016
ATM (AUTOMATIC TELLER MACHINE),995
TAVERN/LIQUOR STORE,975
CHURCH/SYNAGOGUE/PLACE OF WORSHIP,975
POLICE FACILITY / VEHICLE PARKING LOT,930
CURRENCY EXCHANGE,910
CONSTRUCTION SITE,904
SCHOOL - PUBLIC BUILDING,841
NURSING / RETIREMENT HOME,765
WAREHOUSE,745
ABANDONED BUILDING,676
TAXICAB,671
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,660
VACANT LOT / LAND,647
BARBERSHOP,609
LIBRARY,577
SCHOOL - PUBLIC GROUNDS,555
AUTO / BOAT / RV DEALERSHIP,543
MEDICAL/DENTAL OFFICE,523
CTA GARAGE / OTHER PROPERTY,490
DAY CARE CENTER,482
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,481
SPORTS ARENA/STADIUM,471
TAVERN / LIQUOR STORE,467
CHA PARKING LOT / GROUNDS,461
CHURCH / SYNAGOGUE / PLACE OF WORSHIP,447
VEHICLE-COMMERCIAL,434
GOVERNMENT BUILDING / PROPERTY,431
OTHER COMMERCIAL TRANSPORTATION,373
CAR WASH,373
OTHER RAILROAD PROP / TRAIN DEPOT,333
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,331
CHA HALLWAY/STAIRWELL/ELEVATOR,317
"SCHOOL, PRIVATE, GROUNDS",316
MEDICAL / DENTAL OFFICE,300
APPLIANCE STORE,291
COLLEGE/UNIVERSITY GROUNDS,283
CLEANING STORE,279
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,279
"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",264
AIRPORT EXTERIOR - NON-SECURE AREA,253
AIRPORT PARKING LOT,248
MOVIE HOUSE/THEATER,244
FACTORY/MANUFACTURING BUILDING,204
SCHOOL - PRIVATE BUILDING,195
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,184
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,184
AUTO,182
JAIL / LOCK-UP FACILITY,178
CTA PARKING LOT / GARAGE / OTHER PROPERTY,174
VEHICLE - COMMERCIAL,171
CHA HALLWAY / STAIRWELL / ELEVATOR,163
AIRCRAFT,162
AIRPORT VENDING ESTABLISHMENT,150
"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",147
SCHOOL - PRIVATE GROUNDS,142
FIRE STATION,142
FACTORY / MANUFACTURING BUILDING,141
PAWN SHOP,136
VEHICLE - DELIVERY TRUCK,132
LAKEFRONT/WATERFRONT/RIVERBANK,132
AIRPORT/AIRCRAFT,126
OTHER RAILROAD PROPERTY / TRAIN DEPOT,122
FEDERAL BUILDING,117
ANIMAL HOSPITAL,114
POOL ROOM,112
COIN OPERATED MACHINE,99
VEHICLE - OTHER RIDE SERVICE,96
HIGHWAY/EXPRESSWAY,96
SPORTS ARENA / STADIUM,93
AIRPORT EXTERIOR - SECURE AREA,88
BOWLING ALLEY,80
CTA TRACKS - RIGHT OF WAY,74
HOUSE,68
LAKEFRONT / WATERFRONT / RIVERBANK,67
PORCH,66
COLLEGE/UNIVERSITY RESIDENCE HALL,63
COLLEGE / UNIVERSITY - GROUNDS,57
BRIDGE,57
HIGHWAY / EXPRESSWAY,56
YARD,53
BOAT/WATERCRAFT,52
CREDIT UNION,50
BOAT / WATERCRAFT,39
FOREST PRESERVE,35
COLLEGE / UNIVERSITY - RESIDENCE HALL,34
SAVINGS AND LOAN,33
PARKING LOT,33
CEMETARY,33
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,25
MOVIE HOUSE / THEATER,24
AIRPORT TRANSPORTATION SYSTEM (ATS),21
NEWSSTAND,16
VACANT LOT,14
RETAIL STORE,12
KENNEL,10
VEHICLE-COMMERCIAL - TROLLEY BUS,8
HALLWAY,8
VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,7
GAS STATION DRIVE/PROP.,6
GARAGE,6
CHA PARKING LOT,6
BARBER SHOP/BEAUTY SALON,6
VESTIBULE,5
VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS,5
SCHOOL YARD,4
HOTEL,4
GANGWAY,4
STAIRWELL,3
FARM,3
DRIVEWAY,3
"CTA ""L"" PLATFORM",3
CHA GROUNDS,3
TAVERN,2
RIVER BANK,2
NURSING HOME,2
HOSPITAL,2
HORSE STABLE,2
CTA PROPERTY,2
CLUB,2
CHA HALLWAY,2
YMCA,1
VEHICLE - COMMERCIAL: TROLLEY BUS,1
TRAILER,1
ROOMING HOUSE,1
MOTEL,1
LIQUOR STORE,1
LAKE,1
GOVERNMENT BUILDING,1
ELEVATOR,1
CTA SUBWAY STATION,1
"CTA ""L"" TRAIN",1
CHA ELEVATOR,1
BASEMENT,1
